month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-02-01 00:00:00.000,Greater Maine,CITY,40,28,846,84,9,49,9,42,190,6,103,118,2,23,14,57,7,9,26,186,22,1849,2021-02-01 00:00:00.000,Greater Maine,3275
2022-01-01 00:00:00.000,State College,CITY,8,85,362,171,39,285,22,19,757,15,5,313,56,146,150,238,27,33,83,855,141,6602,2022-01-01 00:00:00.000,State College,9742
2021-10-01 00:00:00.000,Connecticut,CITY,1061,4633,4977,3236,12971,1501,1628,3400,32301,1448,68,6259,2375,5003,4423,3201,373,530,592,10309,1136,499434,2021-10-01 00:00:00.000,Connecticut,584980
2021-05-01 00:00:00.000,State College,CITY,8,108,388,110,28,92,19,55,391,8,1,98,26,92,94,178,17,27,37,394,66,7291,2021-05-01 00:00:00.000,State College,9224
2021-01-01 00:00:00.000,Connecticut,CITY,175,2722,13341,3868,7245,4840,1957,2649,22130,1034,452,6520,2516,3104,1505,12608,1474,1653,2395,32970,3917,473564,2021-01-01 00:00:00.000,Connecticut,582383
2021-12-01 00:00:00.000,Pittsburgh,CITY,123,929,908,1244,23336,727,631,719,9868,565,57,2958,772,2618,2396,5742,708,744,931,24212,1206,109895,2021-12-01 00:00:00.000,Pittsburgh,176914
2021-04-01 00:00:00.000,Lehigh Valley,CITY,78,529,3295,423,290,635,471,436,2734,94,119,971,109,582,693,1634,164,142,281,4874,434,38591,2021-04-01 00:00:00.000,Lehigh Valley,53966
2021-11-01 00:00:00.000,York-Gettysburg,CITY,114,81,245,158,30,39,65,472,1163,64,14,299,33,282,193,169,15,27,22,388,48,14605,2021-11-01 00:00:00.000,York-Gettysburg,17494
2021-07-01 00:00:00.000,"Lancaster, PA",CITY,5,121,906,211,26,44,54,127,1027,37,35,224,24,248,128,550,39,75,59,1334,167,13275,2021-07-01 00:00:00.000,"Lancaster, PA",17830
2021-02-01 00:00:00.000,"Reading, PA",CITY,28,51,1424,116,25,201,37,87,563,32,135,236,19,79,50,274,30,32,54,778,103,4267,2021-02-01 00:00:00.000,"Reading, PA",7594
2021-05-01 00:00:00.000,Wilkes-Barre Scranton,CITY,110,225,1317,239,60,107,77,226,1434,47,16,348,69,247,257,800,62,110,125,2373,268,17087,2021-05-01 00:00:00.000,Wilkes-Barre Scranton,24003
2021-11-01 00:00:00.000,Philadelphia,CITY,527,3287,1419,3432,9995,1354,2076,9902,42792,2509,51,8785,3062,6651,9214,6867,896,902,1048,13793,1466,568670,2021-11-01 00:00:00.000,Philadelphia,665443
