month,city_name,TYPE,Outside Service Area,App Crash,No Open Stores in Feed,No_Search_Match,High Surge Selection,Add to Cart Failure,Item Config Failure,View Cart Failure,Order Cart Failure,Courier Cancel Failure,No Courier Found,Eater Cancel,Restaurant Cancel,No Restaurant Accept,Support Cancel,Missing Item,Wrong Order,Food Quality Failure,Never Received Order,Long ATD Failure,Down Courier Rating,No Failure,week_two,city_name,unique_total_sessions
2021-04-01 00:00:00.000,Pittsburg_PA,CITY,658,3633,36123,3759,9001,8788,1436,3271,18204,620,729,7333,1218,4234,4433,10659,1129,1269,1743,52972,2991,248170,2021-04-01 00:00:00.000,Pittsburg_PA,385054
2022-01-01 00:00:00.000,Boston Surrounding-Providence,CITY,157,540,2761,1247,1563,580,406,437,8076,369,38,2468,477,1121,1300,4122,577,571,917,8639,1333,97163,2022-01-01 00:00:00.000,Boston Surrounding-Providence,127214
2022-01-01 00:00:00.000,Pittsburg_PA,CITY,775,1631,6577,3425,33220,1832,1397,1531,24133,1165,163,7063,1567,4661,4986,12718,1528,1811,2399,43421,3665,293212,2022-01-01 00:00:00.000,Pittsburg_PA,419037
2021-06-01 00:00:00.000,Richmond_VA_WVA,CITY,517,2078,8827,2471,4652,1469,1338,2531,17665,711,297,3487,891,3791,2646,9123,834,1340,1452,21791,2488,229156,2021-06-01 00:00:00.000,Richmond_VA_WVA,304757
2021-01-01 00:00:00.000,Pittsburg_PA,CITY,608,1910,30371,3191,3199,7062,1432,2691,15568,552,967,6379,1396,2795,1302,9821,1053,1285,1776,35843,3130,270298,2021-01-01 00:00:00.000,Pittsburg_PA,376708
2021-03-01 00:00:00.000,Boston Surrounding-Providence,CITY,156,1052,9259,1169,1837,2220,280,856,6140,200,307,2065,353,878,545,3280,342,391,635,9350,1146,71578,2021-03-01 00:00:00.000,Boston Surrounding-Providence,105545
2021-06-01 00:00:00.000,Baltimore_MD,CITY,363,2395,3291,3096,29258,1117,1302,2635,20155,657,483,4314,1049,3523,2673,11244,1076,1714,1983,29918,2962,246823,2021-06-01 00:00:00.000,Baltimore_MD,348475
2021-12-01 00:00:00.000,Richmond_VA_WVA,CITY,669,1673,1527,2494,3197,876,1627,1834,21252,1198,91,5094,1175,4491,4370,10724,1239,1418,1806,24037,2202,326827,2021-12-01 00:00:00.000,Richmond_VA_WVA,404649
2021-01-01 00:00:00.000,Boston,CITY,530,5483,22585,8341,6025,17248,3697,7320,39626,1522,535,9212,3407,4706,2749,25738,3501,3545,5699,73984,8395,941386,2021-01-01 00:00:00.000,Boston,1156363
2021-07-01 00:00:00.000,Baltimore_MD,CITY,460,2010,3638,3152,21657,957,1095,2246,21101,810,620,5014,1351,3837,3706,12128,1465,1611,1752,30279,3379,269348,2021-07-01 00:00:00.000,Baltimore_MD,369976
2021-03-01 00:00:00.000,Richmond_VA_WVA,CITY,432,2531,39715,2984,13831,9408,1071,2814,15863,647,1027,7235,1492,3045,1533,8149,755,967,1369,29449,2310,158756,2021-03-01 00:00:00.000,Richmond_VA_WVA,272653
2021-12-01 00:00:00.000,DC,CITY,552,7098,2971,8318,87679,4882,5522,5931,72983,3302,78,15780,5977,13683,11673,36216,5685,4642,5767,153640,8092,1267632,2021-12-01 00:00:00.000,DC,1657026
2021-01-01 00:00:00.000,New_England,CITY,527,2965,31248,4380,7307,6177,2059,3038,23960,1067,761,7458,2698,3452,1639,13623,1551,1760,2589,35220,4282,492809,2021-01-01 00:00:00.000,New_England,624349
2021-05-01 00:00:00.000,DC,CITY,742,14775,13156,11320,116616,5428,5967,10606,69101,2909,145,16827,4955,12265,9484,39834,4534,4764,7288,202277,12175,1281326,2021-05-01 00:00:00.000,DC,1753258
2021-10-01 00:00:00.000,Pittsburg_PA,CITY,1543,3287,26590,3568,21456,1675,1158,3173,26746,1286,206,6669,1563,6290,6482,3716,355,568,807,17520,1360,315899,2021-10-01 00:00:00.000,Pittsburg_PA,426956
2021-10-01 00:00:00.000,New_England,CITY,1847,5148,16843,4047,13162,1839,1786,3929,36779,1652,195,7706,2625,6192,5639,3573,417,592,648,12358,1310,554253,2021-10-01 00:00:00.000,New_England,661547
2021-04-01 00:00:00.000,Baltimore_MD,CITY,369,3024,10712,3652,93802,4010,1618,2954,17443,599,412,6218,1317,3340,3344,10559,1056,1264,1695,45826,2742,191239,2021-04-01 00:00:00.000,Baltimore_MD,356646
